Node,Depth,Value
root,0,-Infinity
A1,1,Infinity
B1,2,-51
A1,1,-51
E1,2,-25
A1,1,-51
A2,2,-15
A1,1,-51
B2,2,-7
A1,1,-51
A3,2,-23
A1,1,-51
B3,2,-43
A1,1,-51
C3,2,-26
A1,1,-51
E3,2,2
A1,1,-51
A4,2,-15
A1,1,-51
B4,2,-7
A1,1,-51
E4,2,3
A1,1,-51
A5,2,-20
A1,1,-51
B5,2,-25
A1,1,-51
C5,2,-18
A1,1,-51
D5,2,-16
A1,1,-51
E5,2,-5
A1,1,-51
root,0,-51
B1,1,Infinity
A1,2,-19
B1,1,-19
E1,2,-29
B1,1,-29
A2,2,-19
B1,1,-29
B2,2,-43
B1,1,-43
A3,2,-27
B1,1,-43
B3,2,-47
B1,1,-47
C3,2,-30
B1,1,-47
E3,2,-2
B1,1,-47
A4,2,-19
B1,1,-47
B4,2,-11
B1,1,-47
E4,2,-1
B1,1,-47
A5,2,-24
B1,1,-47
B5,2,-29
B1,1,-47
C5,2,-22
B1,1,-47
D5,2,-20
B1,1,-47
E5,2,-9
B1,1,-47
root,0,-47
E1,1,Infinity
A1,2,-5
E1,1,-5
B1,2,-1
E1,1,-5
A2,2,-5
E1,1,-5
B2,2,3
E1,1,-5
A3,2,-13
E1,1,-13
B3,2,-33
E1,1,-33
C3,2,-16
E1,1,-33
E3,2,12
E1,1,-33
A4,2,-5
E1,1,-33
B4,2,3
E1,1,-33
E4,2,13
E1,1,-33
A5,2,-10
E1,1,-33
B5,2,-15
E1,1,-33
C5,2,-8
E1,1,-33
D5,2,-6
E1,1,-33
E5,2,5
E1,1,-33
root,0,-33
A2,1,Infinity
A1,2,-15
A2,1,-15
B1,2,-11
A2,1,-15
E1,2,-25
A2,1,-25
B2,2,-47
A2,1,-47
A3,2,-23
A2,1,-47
B3,2,-43
A2,1,-47
C3,2,-26
A2,1,-47
E3,2,2
A2,1,-47
A4,2,-15
A2,1,-47
B4,2,-7
A2,1,-47
E4,2,3
A2,1,-47
A5,2,-20
A2,1,-47
B5,2,-25
A2,1,-47
C5,2,-18
A2,1,-47
D5,2,-16
A2,1,-47
E5,2,-5
A2,1,-47
root,0,-33
B2,1,Infinity
A1,2,-23
B2,1,-23
B1,2,-43
B2,1,-43
E1,2,-33
B2,1,-43
A2,2,-23
B2,1,-43
A3,2,-31
B2,1,-43
B3,2,-51
B2,1,-51
C3,2,-34
B2,1,-51
E3,2,-6
B2,1,-51
A4,2,-23
B2,1,-51
B4,2,-15
B2,1,-51
E4,2,-5
B2,1,-51
A5,2,-28
B2,1,-51
B5,2,-33
B2,1,-51
C5,2,-26
B2,1,-51
D5,2,-24
B2,1,-51
E5,2,-13
B2,1,-51
root,0,-33
A3,1,Infinity
A1,2,-7
A3,1,-7
B1,2,-3
A3,1,-7
E1,2,-17
A3,1,-17
A2,2,-7
A3,1,-17
B2,2,1
A3,1,-17
B3,2,-35
A3,1,-35
C3,2,-18
A3,1,-35
E3,2,10
A3,1,-35
A4,2,-7
A3,1,-35
B4,2,1
A3,1,-35
E4,2,11
A3,1,-35
A5,2,-12
A3,1,-35
B5,2,-17
A3,1,-35
C5,2,-10
A3,1,-35
D5,2,-8
A3,1,-35
E5,2,3
A3,1,-35
root,0,-33
B3,1,Infinity
A1,2,13
B3,1,13
B1,2,17
B3,1,13
E1,2,3
B3,1,3
A2,2,13
B3,1,3
B2,2,-75
B3,1,-75
A3,2,5
B3,1,-75
C3,2,-94
B3,1,-94
E3,2,30
B3,1,-94
A4,2,13
B3,1,-94
B4,2,21
B3,1,-94
E4,2,31
B3,1,-94
A5,2,8
B3,1,-94
B5,2,3
B3,1,-94
C5,2,10
B3,1,-94
D5,2,12
B3,1,-94
E5,2,23
B3,1,-94
root,0,-33
C3,1,Infinity
A1,2,-22
C3,1,-22
B1,2,-18
C3,1,-22
E1,2,-32
C3,1,-32
A2,2,-22
C3,1,-32
B2,2,-14
C3,1,-32
A3,2,-30
C3,1,-32
B3,2,-50
C3,1,-50
E3,2,-5
C3,1,-50
A4,2,-22
C3,1,-50
B4,2,-14
C3,1,-50
E4,2,-4
C3,1,-50
A5,2,-27
C3,1,-50
B5,2,-32
C3,1,-50
C5,2,-25
C3,1,-50
D5,2,-23
C3,1,-50
E5,2,-12
C3,1,-50
root,0,-33
E3,1,Infinity
A1,2,-18
E3,1,-18
B1,2,-14
E3,1,-18
E1,2,-44
E3,1,-44
A2,2,-18
E3,1,-44
B2,2,-10
E3,1,-44
A3,2,-26
E3,1,-44
B3,2,-46
E3,1,-46
C3,2,-29
E3,1,-46
A4,2,-18
E3,1,-46
B4,2,-10
E3,1,-46
E4,2,0
E3,1,-46
A5,2,-23
E3,1,-46
B5,2,-28
E3,1,-46
C5,2,-21
E3,1,-46
D5,2,-19
E3,1,-46
E5,2,-8
E3,1,-46
root,0,-33
A4,1,Infinity
A1,2,-15
A4,1,-15
B1,2,-11
A4,1,-15
E1,2,-25
A4,1,-25
A2,2,-15
A4,1,-25
B2,2,-7
A4,1,-25
A3,2,-23
A4,1,-25
B3,2,-43
A4,1,-43
C3,2,-26
A4,1,-43
E3,2,2
A4,1,-43
B4,2,-7
A4,1,-43
E4,2,3
A4,1,-43
A5,2,-20
A4,1,-43
B5,2,-25
A4,1,-43
C5,2,-18
A4,1,-43
D5,2,-16
A4,1,-43
E5,2,-5
A4,1,-43
root,0,-33
B4,1,Infinity
A1,2,-23
B4,1,-23
B1,2,-19
B4,1,-23
E1,2,-33
B4,1,-33
A2,2,-23
B4,1,-33
B2,2,-15
B4,1,-33
A3,2,-31
B4,1,-33
B3,2,-51
B4,1,-51
C3,2,-34
B4,1,-51
E3,2,-6
B4,1,-51
A4,2,-23
B4,1,-51
E4,2,-5
B4,1,-51
A5,2,-28
B4,1,-51
B5,2,-33
B4,1,-51
C5,2,-26
B4,1,-51
D5,2,-24
B4,1,-51
E5,2,-13
B4,1,-51
root,0,-33
E4,1,Infinity
A1,2,-33
E4,1,-33
B1,2,-29
E4,1,-33
E1,2,-43
E4,1,-43
A2,2,-33
E4,1,-43
B2,2,-25
E4,1,-43
A3,2,-41
E4,1,-43
B3,2,-61
E4,1,-61
C3,2,-44
E4,1,-61
E3,2,-20
E4,1,-61
A4,2,-33
E4,1,-61
B4,2,-25
E4,1,-61
A5,2,-38
E4,1,-61
B5,2,-43
E4,1,-61
C5,2,-36
E4,1,-61
D5,2,-34
E4,1,-61
E5,2,-23
E4,1,-61
root,0,-33
A5,1,Infinity
A1,2,-10
A5,1,-10
B1,2,-6
A5,1,-10
E1,2,-20
A5,1,-20
A2,2,-10
A5,1,-20
B2,2,-2
A5,1,-20
A3,2,-18
A5,1,-20
B3,2,-38
A5,1,-38
C3,2,-21
A5,1,-38
E3,2,7
A5,1,-38
A4,2,-10
A5,1,-38
B4,2,-2
A5,1,-38
E4,2,8
A5,1,-38
B5,2,-20
A5,1,-38
C5,2,-13
A5,1,-38
D5,2,-11
A5,1,-38
E5,2,0
A5,1,-38
root,0,-33
B5,1,Infinity
A1,2,-5
B5,1,-5
B1,2,-1
B5,1,-5
E1,2,-15
B5,1,-15
A2,2,-5
B5,1,-15
B2,2,3
B5,1,-15
A3,2,-13
B5,1,-15
B3,2,-33
B5,1,-33
C3,2,-16
B5,1,-33
E3,2,12
B5,1,-33
A4,2,-5
B5,1,-33
B4,2,3
B5,1,-33
E4,2,13
B5,1,-33
A5,2,-10
B5,1,-33
C5,2,-8
B5,1,-33
D5,2,-6
B5,1,-33
E5,2,5
B5,1,-33
root,0,-33
C5,1,Infinity
A1,2,-12
C5,1,-12
B1,2,-8
C5,1,-12
E1,2,-22
C5,1,-22
A2,2,-12
C5,1,-22
B2,2,-4
C5,1,-22
A3,2,-20
C5,1,-22
B3,2,-40
C5,1,-40
C3,2,-23
C5,1,-40
E3,2,5
C5,1,-40
A4,2,-12
C5,1,-40
B4,2,-4
C5,1,-40
E4,2,6
C5,1,-40
A5,2,-17
C5,1,-40
B5,2,-22
C5,1,-40
D5,2,-13
C5,1,-40
E5,2,-2
C5,1,-40
root,0,-33
D5,1,Infinity
A1,2,-14
D5,1,-14
B1,2,-10
D5,1,-14
E1,2,-24
D5,1,-24
A2,2,-14
D5,1,-24
B2,2,-6
D5,1,-24
A3,2,-22
D5,1,-24
B3,2,-42
D5,1,-42
C3,2,-25
D5,1,-42
E3,2,3
D5,1,-42
A4,2,-14
D5,1,-42
B4,2,-6
D5,1,-42
E4,2,4
D5,1,-42
A5,2,-19
D5,1,-42
B5,2,-24
D5,1,-42
C5,2,-17
D5,1,-42
E5,2,-4
D5,1,-42
root,0,-33
E5,1,Infinity
A1,2,-25
E5,1,-25
B1,2,-21
E5,1,-25
E1,2,-35
E5,1,-35
A2,2,-25
E5,1,-35
B2,2,-17
E5,1,-35
A3,2,-33
E5,1,-35
B3,2,-53
E5,1,-53
C3,2,-36
E5,1,-53
E3,2,-8
E5,1,-53
A4,2,-25
E5,1,-53
B4,2,-17
E5,1,-53
E4,2,-7
E5,1,-53
A5,2,-30
E5,1,-53
B5,2,-35
E5,1,-53
C5,2,-28
E5,1,-53
D5,2,-26
E5,1,-53
root,0,-33
