Node,Depth,Value
root,0,-Infinity
A1,1,Infinity
B1,2,-Infinity
E1,3,-21
B1,2,-21
A2,3,-31
B1,2,-21
B2,3,-39
B1,2,-21
A3,3,-23
B1,2,-21
B3,3,-3
B1,2,-3
C3,3,-38
B1,2,-3
E3,3,-34
B1,2,-3
A4,3,-31
B1,2,-3
B4,3,-39
B1,2,-3
E4,3,-49
B1,2,-3
A5,3,-26
B1,2,-3
B5,3,-21
B1,2,-3
C5,3,-28
B1,2,-3
D5,3,-30
B1,2,-3
E5,3,-41
B1,2,-3
A1,1,-3
E1,2,-Infinity
B1,3,-7
E1,2,-7
A2,3,-5
E1,2,-5
B2,3,-13
E1,2,-5
A3,3,3
E1,2,3
B3,3,23
E1,2,23
C3,3,-12
E1,2,23
E3,3,-8
E1,2,23
A4,3,-5
E1,2,23
B4,3,-13
E1,2,23
E4,3,-23
E1,2,23
A5,3,0
E1,2,23
B5,3,5
E1,2,23
C5,3,-2
E1,2,23
D5,3,-4
E1,2,23
E5,3,-15
E1,2,23
A1,1,-3
A2,2,-Infinity
B1,3,3
A2,2,3
E1,3,15
A2,2,15
B2,3,-3
A2,2,15
A3,3,13
A2,2,15
B3,3,33
A2,2,33
C3,3,-2
A2,2,33
E3,3,2
A2,2,33
A4,3,5
A2,2,33
B4,3,-3
A2,2,33
E4,3,-13
A2,2,33
A5,3,10
A2,2,33
B5,3,15
A2,2,33
C5,3,8
A2,2,33
D5,3,6
A2,2,33
E5,3,-5
A2,2,33
A1,1,-3
B2,2,-Infinity
B1,3,35
B2,2,35
E1,3,23
B2,2,35
A2,3,37
B2,2,37
A3,3,21
B2,2,37
B3,3,41
B2,2,41
C3,3,6
B2,2,41
E3,3,10
B2,2,41
A4,3,13
B2,2,41
B4,3,5
B2,2,41
E4,3,-5
B2,2,41
A5,3,18
B2,2,41
B5,3,23
B2,2,41
C5,3,16
B2,2,41
D5,3,14
B2,2,41
E5,3,3
B2,2,41
A1,1,-3
A3,2,-Infinity
B1,3,-5
A3,2,-5
E1,3,7
A3,2,7
A2,3,53
A3,2,53
B2,3,-11
A3,2,53
B3,3,25
A3,2,53
C3,3,-10
A3,2,53
E3,3,-6
A3,2,53
A4,3,-3
A3,2,53
B4,3,-11
A3,2,53
E4,3,-21
A3,2,53
A5,3,2
A3,2,53
B5,3,7
A3,2,53
C5,3,0
A3,2,53
D5,3,-2
A3,2,53
E5,3,-13
A3,2,53
A1,1,-3
B3,2,-Infinity
B1,3,-25
B3,2,-25
E1,3,-13
B3,2,-13
A2,3,-23
B3,2,-13
B2,3,-31
B3,2,-13
A3,3,-15
B3,2,-13
C3,3,66
B3,2,66
E3,3,-26
B3,2,66
A4,3,-23
B3,2,66
B4,3,65
B3,2,66
E4,3,-41
B3,2,66
A5,3,-18
B3,2,66
B5,3,-13
B3,2,66
C5,3,-20
B3,2,66
D5,3,-22
B3,2,66
E5,3,-33
B3,2,66
A1,1,-3
C3,2,-Infinity
B1,3,-8
C3,2,-8
E1,3,4
C3,2,4
A2,3,-6
C3,2,4
B2,3,-14
C3,2,4
A3,3,2
C3,2,4
B3,3,22
C3,2,22
E3,3,-25
C3,2,22
A4,3,-6
C3,2,22
B4,3,-14
C3,2,22
E4,3,-24
C3,2,22
A5,3,-1
C3,2,22
B5,3,4
C3,2,22
C5,3,-3
C3,2,22
D5,3,-5
C3,2,22
E5,3,-16
C3,2,22
A1,1,-3
E3,2,-Infinity
B1,3,20
E3,2,20
E1,3,32
E3,2,32
A2,3,22
E3,2,32
B2,3,14
E3,2,32
A3,3,30
E3,2,32
B3,3,50
E3,2,50
C3,3,17
E3,2,50
A4,3,22
E3,2,50
B4,3,14
E3,2,50
E4,3,6
E3,2,50
A5,3,27
E3,2,50
B5,3,32
E3,2,50
C5,3,25
E3,2,50
D5,3,23
E3,2,50
E5,3,12
E3,2,50
A1,1,-3
A4,2,-Infinity
B1,3,3
A4,2,3
E1,3,15
A4,2,15
A2,3,5
A4,2,15
B2,3,-3
A4,2,15
A3,3,13
A4,2,15
B3,3,33
A4,2,33
C3,3,-2
A4,2,33
E3,3,2
A4,2,33
B4,3,37
A4,2,37
E4,3,-13
A4,2,37
A5,3,10
A4,2,37
B5,3,15
A4,2,37
C5,3,8
A4,2,37
D5,3,6
A4,2,37
E5,3,-5
A4,2,37
A1,1,-3
B4,2,-Infinity
B1,3,11
B4,2,11
E1,3,23
B4,2,23
A2,3,13
B4,2,23
B2,3,5
B4,2,23
A3,3,21
B4,2,23
B3,3,41
B4,2,41
C3,3,6
B4,2,41
E3,3,10
B4,2,41
A4,3,13
B4,2,41
E4,3,-5
B4,2,41
A5,3,18
B4,2,41
B5,3,23
B4,2,41
C5,3,16
B4,2,41
D5,3,14
B4,2,41
E5,3,3
B4,2,41
A1,1,-3
E4,2,-Infinity
B1,3,21
E4,2,21
E1,3,33
E4,2,33
A2,3,23
E4,2,33
B2,3,15
E4,2,33
A3,3,31
E4,2,33
B3,3,51
E4,2,51
C3,3,16
E4,2,51
E3,3,24
E4,2,51
A4,3,23
E4,2,51
B4,3,15
E4,2,51
A5,3,28
E4,2,51
B5,3,33
E4,2,51
C5,3,26
E4,2,51
D5,3,24
E4,2,51
E5,3,13
E4,2,51
A1,1,-3
A5,2,-Infinity
B1,3,-2
A5,2,-2
E1,3,10
A5,2,10
A2,3,0
A5,2,10
B2,3,-8
A5,2,10
A3,3,8
A5,2,10
B3,3,28
A5,2,28
C3,3,-7
A5,2,28
E3,3,-3
A5,2,28
A4,3,0
A5,2,28
B4,3,-8
A5,2,28
E4,3,-18
A5,2,28
B5,3,10
A5,2,28
C5,3,3
A5,2,28
D5,3,1
A5,2,28
E5,3,-10
A5,2,28
A1,1,-3
B5,2,-Infinity
B1,3,-7
B5,2,-7
E1,3,5
B5,2,5
A2,3,-5
B5,2,5
B2,3,-13
B5,2,5
A3,3,3
B5,2,5
B3,3,23
B5,2,23
C3,3,-12
B5,2,23
E3,3,-8
B5,2,23
A4,3,-5
B5,2,23
B4,3,47
B5,2,47
E4,3,-23
B5,2,47
A5,3,0
B5,2,47
C5,3,58
B5,2,58
D5,3,-4
B5,2,58
E5,3,-15
B5,2,58
A1,1,-3
C5,2,-Infinity
B1,3,0
C5,2,0
E1,3,12
C5,2,12
A2,3,2
C5,2,12
B2,3,-6
C5,2,12
A3,3,10
C5,2,12
B3,3,30
C5,2,30
C3,3,-5
C5,2,30
E3,3,-1
C5,2,30
A4,3,2
C5,2,30
B4,3,-6
C5,2,30
E4,3,-16
C5,2,30
A5,3,7
C5,2,30
B5,3,12
C5,2,30
D5,3,49
C5,2,49
E5,3,-8
C5,2,49
A1,1,-3
D5,2,-Infinity
B1,3,2
D5,2,2
E1,3,14
D5,2,14
A2,3,4
D5,2,14
B2,3,-4
D5,2,14
A3,3,12
D5,2,14
B3,3,32
D5,2,32
C3,3,-3
D5,2,32
E3,3,1
D5,2,32
A4,3,4
D5,2,32
B4,3,-4
D5,2,32
E4,3,-14
D5,2,32
A5,3,9
D5,2,32
B5,3,14
D5,2,32
C5,3,49
D5,2,49
E5,3,-6
D5,2,49
A1,1,-3
E5,2,-Infinity
B1,3,13
E5,2,13
E1,3,25
E5,2,25
A2,3,15
E5,2,25
B2,3,7
E5,2,25
A3,3,23
E5,2,25
B3,3,43
E5,2,43
C3,3,8
E5,2,43
E3,3,12
E5,2,43
A4,3,15
E5,2,43
B4,3,7
E5,2,43
E4,3,17
E5,2,43
A5,3,20
E5,2,43
B5,3,25
E5,2,43
C5,3,18
E5,2,43
D5,3,36
E5,2,43
A1,1,-3
root,0,-3
B1,1,Infinity
A1,2,-Infinity
E1,3,11
A1,2,11
A2,3,1
A1,2,11
B2,3,-3
A1,2,11
A3,3,9
A1,2,11
B3,3,29
A1,2,29
C3,3,-6
A1,2,29
E3,3,-2
A1,2,29
A4,3,1
A1,2,29
B4,3,-7
A1,2,29
E4,3,-17
A1,2,29
A5,3,6
A1,2,29
B5,3,11
A1,2,29
C5,3,4
A1,2,29
D5,3,2
A1,2,29
E5,3,-9
A1,2,29
B1,1,29
E1,2,-Infinity
A1,3,-9
E1,2,-9
A2,3,-9
E1,2,-9
B2,3,-13
E1,2,-9
A3,3,-1
E1,2,-1
B3,3,19
E1,2,19
C3,3,-16
E1,2,19
E3,3,-12
E1,2,19
A4,3,-9
E1,2,19
B4,3,-17
E1,2,19
E4,3,-27
E1,2,19
A5,3,-4
E1,2,19
B5,3,1
E1,2,19
C5,3,-6
E1,2,19
D5,3,-8
E1,2,19
E5,3,-19
E1,2,19
B1,1,19
A2,2,-Infinity
A1,3,41
A2,2,41
E1,3,11
A2,2,41
B2,3,37
A2,2,41
A3,3,9
A2,2,41
B3,3,29
A2,2,41
C3,3,-6
A2,2,41
E3,3,-2
A2,2,41
A4,3,1
A2,2,41
B4,3,-7
A2,2,41
E4,3,-17
A2,2,41
A5,3,6
A2,2,41
B5,3,11
A2,2,41
C5,3,4
A2,2,41
D5,3,2
A2,2,41
E5,3,-9
A2,2,41
B1,1,19
B2,2,-Infinity
A1,3,-23
B2,2,-23
E1,3,-13
B2,2,-13
A2,3,-23
B2,2,-13
A3,3,-15
B2,2,-13
B3,3,5
B2,2,5
C3,3,-30
B2,2,5
E3,3,-26
B2,2,5
A4,3,-23
B2,2,5
B4,3,-31
B2,2,5
E4,3,-41
B2,2,5
A5,3,-18
B2,2,5
B5,3,-13
B2,2,5
C5,3,-20
B2,2,5
D5,3,-22
B2,2,5
E5,3,-33
B2,2,5
B1,1,5
A3,2,-Infinity
A1,3,-7
A3,2,-7
E1,3,3
A3,2,3
A2,3,-7
A3,2,3
B2,3,-11
A3,2,3
B3,3,21
A3,2,21
C3,3,-14
A3,2,21
E3,3,-10
A3,2,21
A4,3,-7
A3,2,21
B4,3,-15
A3,2,21
E4,3,-25
A3,2,21
A5,3,-2
A3,2,21
B5,3,3
A3,2,21
C5,3,-4
A3,2,21
D5,3,-6
A3,2,21
E5,3,-17
A3,2,21
B1,1,5
B3,2,-Infinity
A1,3,-27
B3,2,-27
E1,3,-17
B3,2,-17
A2,3,-27
B3,2,-17
B2,3,65
B3,2,65
A3,3,-19
B3,2,65
C3,3,62
B3,2,65
E3,3,-30
B3,2,65
A4,3,-27
B3,2,65
B4,3,61
B3,2,65
E4,3,-45
B3,2,65
A5,3,-22
B3,2,65
B5,3,-17
B3,2,65
C5,3,-24
B3,2,65
D5,3,-26
B3,2,65
E5,3,-37
B3,2,65
B1,1,5
C3,2,-Infinity
A1,3,-10
C3,2,-10
E1,3,0
C3,2,0
A2,3,-10
C3,2,0
B2,3,-14
C3,2,0
A3,3,-2
C3,2,0
B3,3,18
C3,2,18
E3,3,-29
C3,2,18
A4,3,-10
C3,2,18
B4,3,-18
C3,2,18
E4,3,-28
C3,2,18
A5,3,-5
C3,2,18
B5,3,0
C3,2,18
C5,3,-7
C3,2,18
D5,3,-9
C3,2,18
E5,3,-20
C3,2,18
B1,1,5
E3,2,-Infinity
A1,3,18
E3,2,18
E1,3,28
E3,2,28
A2,3,18
E3,2,28
B2,3,14
E3,2,28
A3,3,26
E3,2,28
B3,3,46
E3,2,46
C3,3,13
E3,2,46
A4,3,18
E3,2,46
B4,3,10
E3,2,46
E4,3,2
E3,2,46
A5,3,23
E3,2,46
B5,3,28
E3,2,46
C5,3,21
E3,2,46
D5,3,19
E3,2,46
E5,3,8
E3,2,46
B1,1,5
A4,2,-Infinity
A1,3,1
A4,2,1
E1,3,11
A4,2,11
A2,3,1
A4,2,11
B2,3,-3
A4,2,11
A3,3,9
A4,2,11
B3,3,29
A4,2,29
C3,3,-6
A4,2,29
E3,3,-2
A4,2,29
B4,3,33
A4,2,33
E4,3,-17
A4,2,33
A5,3,6
A4,2,33
B5,3,11
A4,2,33
C5,3,4
A4,2,33
D5,3,2
A4,2,33
E5,3,-9
A4,2,33
B1,1,5
B4,2,-Infinity
A1,3,9
B4,2,9
E1,3,19
B4,2,19
A2,3,9
B4,2,19
B2,3,5
B4,2,19
A3,3,17
B4,2,19
B3,3,37
B4,2,37
C3,3,2
B4,2,37
E3,3,6
B4,2,37
A4,3,9
B4,2,37
E4,3,-9
B4,2,37
A5,3,14
B4,2,37
B5,3,19
B4,2,37
C5,3,12
B4,2,37
D5,3,10
B4,2,37
E5,3,-1
B4,2,37
B1,1,5
E4,2,-Infinity
A1,3,19
E4,2,19
E1,3,29
E4,2,29
A2,3,19
E4,2,29
B2,3,15
E4,2,29
A3,3,27
E4,2,29
B3,3,47
E4,2,47
C3,3,12
E4,2,47
E3,3,20
E4,2,47
A4,3,19
E4,2,47
B4,3,11
E4,2,47
A5,3,24
E4,2,47
B5,3,29
E4,2,47
C5,3,22
E4,2,47
D5,3,20
E4,2,47
E5,3,9
E4,2,47
B1,1,5
A5,2,-Infinity
A1,3,-4
A5,2,-4
E1,3,6
A5,2,6
A2,3,-4
A5,2,6
B2,3,-8
A5,2,6
A3,3,4
A5,2,6
B3,3,24
A5,2,24
C3,3,-11
A5,2,24
E3,3,-7
A5,2,24
A4,3,-4
A5,2,24
B4,3,-12
A5,2,24
E4,3,-22
A5,2,24
B5,3,6
A5,2,24
