Node,Depth,Value
root,0,-Infinity
A1,1,Infinity
B1,2,-Infinity
E1,3,49
B1,2,49
A2,3,39
B1,2,49
B2,3,63
B1,2,63
A3,3,47
B1,2,63
B3,3,67
B1,2,67
C3,3,50
B1,2,67
E3,3,22
B1,2,67
A4,3,39
B1,2,67
B4,3,31
B1,2,67
E4,3,21
B1,2,67
A5,3,44
B1,2,67
B5,3,49
B1,2,67
C5,3,42
B1,2,67
D5,3,40
B1,2,67
E5,3,29
B1,2,67
A1,1,67
E1,2,-Infinity
B1,3,21
E1,2,21
A2,3,25
E1,2,25
B2,3,17
E1,2,25
A3,3,33
E1,2,33
B3,3,53
E1,2,53
C3,3,36
E1,2,53
E3,3,8
E1,2,53
A4,3,25
E1,2,53
B4,3,17
E1,2,53
E4,3,7
E1,2,53
A5,3,30
E1,2,53
B5,3,35
E1,2,53
C5,3,28
E1,2,53
D5,3,26
E1,2,53
E5,3,15
E1,2,53
A1,1,53
A2,2,-Infinity
B1,3,31
A2,2,31
E1,3,45
A2,2,45
B2,3,67
A2,2,67
A3,3,43
A2,2,67
B3,3,63
A2,2,67
C3,3,46
A2,2,67
E3,3,18
A2,2,67
A4,3,35
A2,2,67
B4,3,27
A2,2,67
E4,3,17
A2,2,67
A5,3,40
A2,2,67
B5,3,45
A2,2,67
C5,3,38
A2,2,67
D5,3,36
A2,2,67
E5,3,25
A2,2,67
A1,1,53
B2,2,-Infinity
B1,3,63
B2,2,63
E1,3,53
B2,2,63
A2,3,67
B2,2,67
A3,3,51
B2,2,67
B3,3,71
B2,2,71
C3,3,54
B2,2,71
E3,3,26
B2,2,71
A4,3,43
B2,2,71
B4,3,35
B2,2,71
E4,3,25
B2,2,71
A5,3,48
B2,2,71
B5,3,53
B2,2,71
C5,3,46
B2,2,71
D5,3,44
B2,2,71
E5,3,33
B2,2,71
A1,1,53
A3,2,-Infinity
B1,3,23
A3,2,23
E1,3,37
A3,2,37
A2,3,83
A3,2,83
B2,3,19
A3,2,83
B3,3,55
A3,2,83
C3,3,38
A3,2,83
E3,3,10
A3,2,83
A4,3,27
A3,2,83
B4,3,19
A3,2,83
E4,3,9
A3,2,83
A5,3,32
A3,2,83
B5,3,37
A3,2,83
C5,3,30
A3,2,83
D5,3,28
A3,2,83
E5,3,17
A3,2,83
A1,1,53
B3,2,-Infinity
B1,3,3
B3,2,3
E1,3,17
B3,2,17
A2,3,7
B3,2,17
B2,3,95
B3,2,95
A3,3,15
B3,2,95
C3,3,114
B3,2,114
E3,3,-10
B3,2,114
A4,3,7
B3,2,114
B4,3,-1
B3,2,114
E4,3,-11
B3,2,114
A5,3,12
B3,2,114
B5,3,17
B3,2,114
C5,3,10
B3,2,114
D5,3,8
B3,2,114
E5,3,-3
B3,2,114
A1,1,53
C3,2,-Infinity
B1,3,38
C3,2,38
E1,3,52
C3,2,52
A2,3,42
C3,2,52
B2,3,34
C3,2,52
A3,3,50
C3,2,52
B3,3,70
C3,2,70
E3,3,25
C3,2,70
A4,3,42
C3,2,70
B4,3,34
C3,2,70
E4,3,24
C3,2,70
A5,3,47
C3,2,70
B5,3,52
C3,2,70
C5,3,45
C3,2,70
D5,3,43
C3,2,70
E5,3,32
C3,2,70
A1,1,53
E3,2,-Infinity
B1,3,34
E3,2,34
E1,3,64
E3,2,64
A2,3,38
E3,2,64
B2,3,30
E3,2,64
A3,3,46
E3,2,64
B3,3,66
E3,2,66
C3,3,49
E3,2,66
A4,3,38
E3,2,66
B4,3,30
E3,2,66
E4,3,20
E3,2,66
A5,3,43
E3,2,66
B5,3,48
E3,2,66
C5,3,41
E3,2,66
D5,3,39
E3,2,66
E5,3,28
E3,2,66
A1,1,53
A4,2,-Infinity
B1,3,31
A4,2,31
E1,3,45
A4,2,45
A2,3,35
A4,2,45
B2,3,27
A4,2,45
A3,3,43
A4,2,45
B3,3,63
A4,2,63
C3,3,46
A4,2,63
E3,3,18
A4,2,63
B4,3,27
A4,2,63
E4,3,17
A4,2,63
A5,3,40
A4,2,63
B5,3,45
A4,2,63
C5,3,38
A4,2,63
D5,3,36
A4,2,63
E5,3,25
A4,2,63
A1,1,53
B4,2,-Infinity
B1,3,39
B4,2,39
E1,3,53
B4,2,53
A2,3,43
B4,2,53
B2,3,35
B4,2,53
A3,3,51
B4,2,53
B3,3,71
B4,2,71
C3,3,54
B4,2,71
E3,3,26
B4,2,71
A4,3,43
B4,2,71
E4,3,25
B4,2,71
A5,3,48
B4,2,71
B5,3,53
B4,2,71
C5,3,46
B4,2,71
D5,3,44
B4,2,71
E5,3,33
B4,2,71
A1,1,53
E4,2,-Infinity
B1,3,49
E4,2,49
E1,3,63
E4,2,63
A2,3,53
E4,2,63
B2,3,45
E4,2,63
A3,3,61
E4,2,63
B3,3,81
E4,2,81
C3,3,64
E4,2,81
E3,3,40
E4,2,81
A4,3,53
E4,2,81
B4,3,45
E4,2,81
A5,3,58
E4,2,81
B5,3,63
E4,2,81
C5,3,56
E4,2,81
D5,3,54
E4,2,81
E5,3,43
E4,2,81
A1,1,53
A5,2,-Infinity
B1,3,26
A5,2,26
E1,3,40
A5,2,40
A2,3,30
A5,2,40
B2,3,22
A5,2,40
A3,3,38
A5,2,40
B3,3,58
A5,2,58
C3,3,41
A5,2,58
E3,3,13
A5,2,58
A4,3,30
A5,2,58
B4,3,22
A5,2,58
E4,3,12
A5,2,58
B5,3,40
A5,2,58
C5,3,33
A5,2,58
D5,3,31
A5,2,58
E5,3,20
A5,2,58
A1,1,53
B5,2,-Infinity
B1,3,21
B5,2,21
E1,3,35
B5,2,35
A2,3,25
B5,2,35
B2,3,17
B5,2,35
A3,3,33
B5,2,35
B3,3,53
B5,2,53
C3,3,36
B5,2,53
E3,3,8
B5,2,53
A4,3,25
B5,2,53
B4,3,17
B5,2,53
E4,3,7
B5,2,53
A5,3,30
B5,2,53
C5,3,28
B5,2,53
D5,3,26
B5,2,53
E5,3,15
B5,2,53
A1,1,53
C5,2,-Infinity
B1,3,28
C5,2,28
E1,3,42
C5,2,42
A2,3,32
C5,2,42
B2,3,24
C5,2,42
A3,3,40
C5,2,42
B3,3,60
C5,2,60
C3,3,43
C5,2,60
E3,3,15
C5,2,60
A4,3,32
C5,2,60
B4,3,24
C5,2,60
E4,3,14
C5,2,60
A5,3,37
C5,2,60
B5,3,42
C5,2,60
D5,3,33
C5,2,60
E5,3,22
C5,2,60
A1,1,53
D5,2,-Infinity
B1,3,30
D5,2,30
E1,3,44
D5,2,44
A2,3,34
D5,2,44
B2,3,26
D5,2,44
A3,3,42
D5,2,44
B3,3,62
D5,2,62
C3,3,45
D5,2,62
E3,3,17
D5,2,62
A4,3,34
D5,2,62
B4,3,26
D5,2,62
E4,3,16
D5,2,62
A5,3,39
D5,2,62
B5,3,44
D5,2,62
C5,3,37
D5,2,62
E5,3,24
D5,2,62
A1,1,53
E5,2,-Infinity
B1,3,41
E5,2,41
E1,3,55
E5,2,55
A2,3,45
E5,2,55
B2,3,37
E5,2,55
A3,3,53
E5,2,55
B3,3,73
E5,2,73
C3,3,56
E5,2,73
E3,3,28
E5,2,73
A4,3,45
E5,2,73
B4,3,37
E5,2,73
E4,3,27
E5,2,73
A5,3,50
E5,2,73
B5,3,55
E5,2,73
C5,3,48
E5,2,73
D5,3,46
E5,2,73
A1,1,53
root,0,53
B1,1,Infinity
A1,2,-Infinity
E1,3,41
A1,2,41
A2,3,31
A1,2,41
B2,3,23
A1,2,41
A3,3,39
A1,2,41
B3,3,59
A1,2,59
C3,3,42
A1,2,59
E3,3,14
A1,2,59
A4,3,31
A1,2,59
B4,3,23
A1,2,59
E4,3,13
A1,2,59
A5,3,36
A1,2,59
B5,3,41
A1,2,59
C5,3,34
A1,2,59
D5,3,32
A1,2,59
E5,3,21
A1,2,59
B1,1,59
E1,2,-Infinity
A1,3,21
E1,2,21
A2,3,21
E1,2,21
B2,3,13
E1,2,21
A3,3,29
E1,2,29
B3,3,49
E1,2,49
C3,3,32
E1,2,49
E3,3,4
E1,2,49
A4,3,21
E1,2,49
B4,3,13
E1,2,49
E4,3,3
E1,2,49
A5,3,26
E1,2,49
B5,3,31
E1,2,49
C5,3,24
E1,2,49
D5,3,22
E1,2,49
E5,3,11
E1,2,49
B1,1,49
A2,2,-Infinity
A1,3,71
A2,2,71
E1,3,41
A2,2,71
B2,3,63
A2,2,71
A3,3,39
A2,2,71
B3,3,59
A2,2,71
C3,3,42
A2,2,71
E3,3,14
A2,2,71
A4,3,31
A2,2,71
B4,3,23
A2,2,71
E4,3,13
A2,2,71
A5,3,36
A2,2,71
B5,3,41
A2,2,71
C5,3,34
A2,2,71
D5,3,32
A2,2,71
E5,3,21
A2,2,71
B1,1,49
B2,2,-Infinity
A1,3,39
B2,2,39
E1,3,49
B2,2,49
A2,3,39
B2,2,49
A3,3,47
B2,2,49
B3,3,67
B2,2,67
C3,3,50
B2,2,67
E3,3,22
B2,2,67
A4,3,39
B2,2,67
B4,3,31
B2,2,67
E4,3,21
B2,2,67
A5,3,44
B2,2,67
B5,3,49
B2,2,67
C5,3,42
B2,2,67
D5,3,40
B2,2,67
E5,3,29
B2,2,67
B1,1,49
A3,2,-Infinity
A1,3,23
A3,2,23
E1,3,33
A3,2,33
A2,3,23
A3,2,33
B2,3,15
A3,2,33
B3,3,51
A3,2,51
C3,3,34
A3,2,51
E3,3,6
A3,2,51
A4,3,23
A3,2,51
B4,3,15
A3,2,51
E4,3,5
A3,2,51
A5,3,28
A3,2,51
B5,3,33
A3,2,51
C5,3,26
A3,2,51
D5,3,24
A3,2,51
E5,3,13
A3,2,51
B1,1,49
B3,2,-Infinity
A1,3,3
B3,2,3
E1,3,13
B3,2,13
A2,3,3
B3,2,13
B2,3,91
B3,2,91
A3,3,11
B3,2,91
C3,3,110
B3,2,110
E3,3,-14
B3,2,110
A4,3,3
B3,2,110
B4,3,-5
B3,2,110
E4,3,-15
B3,2,110
A5,3,8
B3,2,110
B5,3,13
B3,2,110
C5,3,6
B3,2,110
D5,3,4
B3,2,110
E5,3,-7
B3,2,110
B1,1,49
C3,2,-Infinity
A1,3,38
C3,2,38
E1,3,48
C3,2,48
A2,3,38
C3,2,48
B2,3,34
C3,2,48
A3,3,46
C3,2,48
B3,3,66
C3,2,66
E3,3,21
C3,2,66
A4,3,38
C3,2,66
B4,3,30
C3,2,66
E4,3,20
C3,2,66
A5,3,43
C3,2,66
B5,3,48
C3,2,66
C5,3,41
C3,2,66
D5,3,39
C3,2,66
E5,3,28
C3,2,66
B1,1,49
E3,2,-Infinity
A1,3,34
E3,2,34
E1,3,60
E3,2,60
A2,3,34
E3,2,60
B2,3,26
E3,2,60
A3,3,42
E3,2,60
B3,3,62
E3,2,62
C3,3,45
E3,2,62
A4,3,34
E3,2,62
B4,3,26
E3,2,62
E4,3,16
E3,2,62
A5,3,39
E3,2,62
B5,3,44
E3,2,62
C5,3,37
E3,2,62
D5,3,35
E3,2,62
E5,3,24
E3,2,62
B1,1,49
A4,2,-Infinity
A1,3,31
A4,2,31
E1,3,41
A4,2,41
A2,3,31
A4,2,41
B2,3,23
A4,2,41
A3,3,39
A4,2,41
B3,3,59
A4,2,59
C3,3,42
A4,2,59
E3,3,14
A4,2,59
B4,3,23
A4,2,59
E4,3,13
A4,2,59
A5,3,36
A4,2,59
B5,3,41
A4,2,59
C5,3,34
A4,2,59
D5,3,32
A4,2,59
E5,3,21
A4,2,59
B1,1,49
B4,2,-Infinity
A1,3,39
B4,2,39
E1,3,49
B4,2,49
A2,3,39
B4,2,49
B2,3,31
B4,2,49
A3,3,47
B4,2,49
B3,3,67
B4,2,67
C3,3,50
B4,2,67
E3,3,22
B4,2,67
A4,3,39
B4,2,67
E4,3,21
B4,2,67
A5,3,44
B4,2,67
B5,3,49
B4,2,67
C5,3,42
B4,2,67
D5,3,40
B4,2,67
E5,3,29
B4,2,67
B1,1,49
E4,2,-Infinity
A1,3,49
E4,2,49
E1,3,59
E4,2,59
A2,3,49
E4,2,59
B2,3,41
E4,2,59
A3,3,57
E4,2,59
B3,3,77
E4,2,77
C3,3,60
E4,2,77
E3,3,36
E4,2,77
A4,3,49
E4,2,77
B4,3,41
E4,2,77
A5,3,54
E4,2,77
B5,3,59
E4,2,77
C5,3,52
E4,2,77
D5,3,50
E4,2,77
E5,3,39
E4,2,77
B1,1,49
A5,2,-Infinity
A1,3,26
A5,2,26
E1,3,36
A5,2,36
A2,3,26
A5,2,36
B2,3,18
A5,2,36
A3,3,34
A5,2,36
B3,3,54
A5,2,54
C3,3,37
A5,2,54
E3,3,9
A5,2,54
A4,3,26
A5,2,54
B4,3,18
A5,2,54
E4,3,8
A5,2,54
B5,3,36
A5,2,54
C5,3,29
A5,2,54
D5,3,27
A5,2,54
E5,3,16
A5,2,54
B1,1,49
B5,2,-Infinity
A1,3,21
B5,2,21
E1,3,31
B5,2,31
A2,3,21
B5,2,31
B2,3,13
B5,2,31
A3,3,29
B5,2,31
B3,3,49
B5,2,49
C3,3,32
B5,2,49
E3,3,4
B5,2,49
A4,3,21
B5,2,49
B4,3,13
B5,2,49
E4,3,3
B5,2,49
A5,3,26
B5,2,49
C5,3,24
